date,sector,consumption
2018-11-01,local_domestic,2538.4798384795317
2018-12-01,local_domestic,2680.2550145789623
2019-01-01,local_domestic,2744.42849426422
2019-02-01,local_domestic,2804.3985873559272
2019-03-01,local_domestic,2748.501719388161
2019-04-01,local_domestic,2959.033833849919
2019-05-01,local_domestic,2831.6010358782382
2019-06-01,local_domestic,2832.3029316349803
2019-07-01,local_domestic,2842.0005246462033
2019-08-01,local_domestic,2844.4226523477973
2019-09-01,local_domestic,2734.6954921824845
2019-10-01,local_domestic,2677.497902388157
2019-11-01,local_domestic,2641.7537991303248
2019-12-01,local_domestic,2725.0216851335895
2020-01-01,local_domestic,2869.3442650943457
2020-02-01,local_domestic,2868.0955361018932
2020-03-01,local_domestic,2889.7301246358475
2020-04-01,local_domestic,3139.858915051787
2020-05-01,local_domestic,3947.557468063146
2020-06-01,local_domestic,3017.847066329419
2020-07-01,local_domestic,3004.741730467953
2020-08-01,local_domestic,2989.8426532293133
2020-09-01,local_domestic,2901.563701323576
2020-10-01,local_domestic,2973.93812175348
2020-11-01,local_domestic,2943.4764401285984
2020-12-01,local_domestic,2820.5908108206354
2021-01-01,local_domestic,3038.885370748943
2021-02-01,local_domestic,3095.4843394520376
2021-03-01,local_domestic,3075.7283580609064
2021-04-01,local_domestic,3122.4045554463464
2021-05-01,local_domestic,3432.405679124206
2021-06-01,local_domestic,3298.026373472227
2021-07-01,local_domestic,3416.8331024564504
2021-08-01,local_domestic,3272.568826101095
2021-09-01,local_domestic,3240.924767622583
2021-10-01,local_domestic,3178.5357087614043
2021-11-01,local_domestic,3007.4476476350774
2021-12-01,local_domestic,3033.741448118727
2022-01-01,local_domestic,3149.094474
2022-02-01,local_domestic,3077.808365
2022-03-01,local_domestic,3266.42965443
2022-04-01,local_domestic,3318.30658
2022-05-01,local_domestic,3364.641667
2022-06-01,local_domestic,3282.338295
2022-07-01,local_domestic,3280.306051
2022-08-01,local_domestic,3202.393743
2022-09-01,local_domestic,3118.720182
2022-10-01,local_domestic,3097.02226
2022-11-01,local_domestic,3039.1426545183267
2022-12-01,local_domestic,3038.10442917
2023-01-01,local_domestic,3030.11661
2023-02-01,local_domestic,3046.542903
2023-03-01,local_domestic,3364.396075
2023-04-01,local_domestic,3516.4267931
2023-05-01,local_domestic,3710.807649
2023-06-01,local_domestic,3514.2
2023-07-01,local_domestic,3510.970801
2023-08-01,local_domestic,3424.910593
2023-09-01,local_domestic,3492.461578
2023-10-01,local_domestic,3404.775217
2023-11-01,local_domestic,3265.31904
2023-12-01,local_domestic,3339.093809
2024-01-01,local_domestic,3551.437675
2024-02-01,local_domestic,3675.45516
2024-03-01,local_domestic,3907.848776
2024-04-01,local_domestic,3860.406415
2024-05-01,local_domestic,3820.283525
2024-06-01,local_domestic,3621.850084316152
2018-01-01,exports,109.82
2018-02-01,exports,101.5
2018-03-01,exports,103.785
2018-04-01,exports,102.002
2018-05-01,exports,142.261
2018-06-01,exports,141.659
2018-07-01,exports,138.707
2018-08-01,exports,139.507
2018-09-01,exports,137.718
2018-10-01,exports,132.991
2018-11-01,exports,126.182
2018-12-01,exports,132.36
2019-01-01,exports,146.324
2019-02-01,exports,127.714
2019-03-01,exports,146.318
2019-04-01,exports,145.907
2019-05-01,exports,144.063
2019-06-01,exports,134.789
2019-07-01,exports,144.631
2019-08-01,exports,154.706
2019-09-01,exports,148.348
2019-10-01,exports,142.979
2019-11-01,exports,131.062
2019-12-01,exports,130.68
2020-01-01,exports,129.7
2020-02-01,exports,145.745
2020-03-01,exports,148.75855
2020-04-01,exports,143.921
2020-05-01,exports,138.609
2020-06-01,exports,125.662
2020-07-01,exports,128.298
2020-08-01,exports,140.393
2020-09-01,exports,124.32709
2020-10-01,exports,129.284
2020-11-01,exports,116.514
2020-12-01,exports,99.263
2021-01-01,exports,134.76173
2021-02-01,exports,84.21
2021-03-01,exports,122.645
2021-04-01,exports,112.167
2021-05-01,exports,103.623
2021-06-01,exports,57.788
2021-07-01,exports,67.48905
2021-08-01,exports,46.02522
2021-09-01,exports,70.984
2021-10-01,exports,58.20315
2021-11-01,exports,45.92575
2021-12-01,exports,70.63773
2022-01-01,exports,58.25445
2022-02-01,exports,58.2294
2022-03-01,exports,62.61265
2022-04-01,exports,59.90336
2022-05-01,exports,60.152
2022-06-01,exports,60.80461
2022-07-01,exports,60.245
2022-08-01,exports,67.617
2022-09-01,exports,67.921
2022-10-01,exports,83.311
2022-11-01,exports,88.21
2022-12-01,exports,90.70768
2023-01-01,exports,71.90245
2023-02-01,exports,75.827
2023-03-01,exports,75.4751
2023-04-01,exports,72.563
2023-05-01,exports,71.047
2023-06-01,exports,70.557
2023-07-01,exports,70.642
2023-08-01,exports,73.76585
2023-09-01,exports,72.8069
2023-10-01,exports,72.1938
2023-11-01,exports,73.726
2023-12-01,exports,72.864
2024-01-01,exports,72.91
2024-02-01,exports,74.406
2024-03-01,exports,73.583
2024-04-01,exports,73.559
2024-05-01,exports,73.67294
2024-06-01,exports,73.63878
2018-01-01,losses,1200.3838057448863
2018-02-01,losses,903.8396245498352
2018-03-01,losses,1681.1045460086114
2018-04-01,losses,1484.2351117247422
2018-05-01,losses,1524.4233348051807
2018-06-01,losses,1487.7205001041598
2018-07-01,losses,1563.615043234959
2018-08-01,losses,1679.49331927298
2018-09-01,losses,1262.2555090980593
2018-10-01,losses,1424.946917280491
2018-11-01,losses,1356.2364800555467
2018-12-01,losses,1222.8287932205408
2019-01-01,losses,1411.4888797851077
2019-02-01,losses,922.1813658171613
2019-03-01,losses,1735.5785410697583
2019-04-01,losses,1282.0117602990133
2019-05-01,losses,1763.2386625841755
2019-06-01,losses,1254.2687411271243
2019-07-01,losses,1590.152281251075
2019-08-01,losses,1471.9324641237347
2019-09-01,losses,1460.142479983535
2019-10-01,losses,1416.588468447296
2019-11-01,losses,1375.3632414378208
2019-12-01,losses,1304.6719090030567
2020-01-01,losses,1402.7434828621688
2020-02-01,losses,1161.316261117393
2020-03-01,losses,1674.341259061774
2020-04-01,losses,1192.2839361336376
2020-05-01,losses,1553.9476671138423
2020-06-01,losses,1413.3392075994655
2020-07-01,losses,1357.174850188724
2020-08-01,losses,1578.8631640382737
2020-09-01,losses,1166.417801294884
2020-10-01,losses,1403.3739716263567
2020-11-01,losses,1195.4896956735022
2020-12-01,losses,1518.763646647053
2021-01-01,losses,1277.2718831883615
2021-02-01,losses,1125.4281253817999
2021-03-01,losses,1766.1485430512116
2021-04-01,losses,1519.1518899720209
2021-05-01,losses,1672.266821646826
2021-06-01,losses,1517.1672444168094
2021-07-01,losses,1570.2674647495407
2021-08-01,losses,1531.0654558299716
2021-09-01,losses,1292.6559901060014
2021-10-01,losses,1735.3006150622361
2021-11-01,losses,1383.3046805200195
2021-12-01,losses,1479.1961711311947
2022-01-01,losses,1326.5413200000007
2022-02-01,losses,876.3189523000021
2022-03-01,losses,1525.3469030642982
2022-04-01,losses,1279.596459999999
2022-05-01,losses,1553.3024650000025
2022-06-01,losses,1202.1387652000005
2022-07-01,losses,1522.2534368655042
2022-08-01,losses,1399.3108670000004
2022-09-01,losses,1114.876221820001
2022-10-01,losses,1257.535649000001
2022-11-01,losses,1050.2022105799197
2022-12-01,losses,1062.2647518299977
2023-01-01,losses,1141.0163917841414
2023-02-01,losses,705.3931958135265
2023-03-01,losses,1157.7703269999997
2023-04-01,losses,1114.206186970001
2023-05-01,losses,1394.9288360699998
2023-06-01,losses,1177.442525000003
2023-07-01,losses,1223.9736530000007
2023-08-01,losses,1429.1454120000014
2023-09-01,losses,960.9663939999987
2023-10-01,losses,1387.506926000001
2023-11-01,losses,917.5604539999991
2023-12-01,losses,1000.493919
2024-01-01,losses,858.2826563087582
2024-02-01,losses,724.51783802708
2024-03-01,losses,1273.2276172528404
2024-04-01,losses,1045.8856141244298
2024-05-01,losses,1294.2743069738067
2024-06-01,losses,1032.1196220970317
